X:	U:	P:	RO:	E:	Q:
1.685	8.01762e-116	0.285714	0.357143	1.2	2.50294e-116
1.686	1.94832e-116	0.285714	0.357143	1.2	6.08374e-117
1.687	4.7309e-117	0.285714	0.357143	1.2	1.47763e-117
1.688	1.14784e-117	0.285714	0.357143	1.2	3.58608e-118
1.689	2.78259e-118	0.285714	0.357143	1.2	8.69584e-119
1.69	6.73958e-119	0.285714	0.357143	1.2	2.10681e-119
1.691	1.63085e-119	0.285714	0.357143	1.2	5.09964e-120
1.692	3.94252e-120	0.285714	0.357143	1.2	1.23322e-120
1.693	9.52127e-121	0.285714	0.357143	1.2	2.97924e-121
1.694	2.29699e-121	0.285714	0.357143	1.2	7.18987e-122
1.695	5.53542e-122	0.285714	0.357143	1.2	1.73328e-122
1.696	1.33245e-122	0.285714	0.357143	1.2	4.17377e-123
1.697	3.20363e-123	0.285714	0.357143	1.2	1.00389e-123
1.698	7.69323e-124	0.285714	0.357143	1.2	2.4117e-124
1.699	1.84516e-124	0.285714	0.357143	1.2	5.78663e-125
1.7	4.41981e-125	0.285714	0.357143	1.2	1.38667e-125
1.701	1.0573e-125	0.285714	0.357143	1.2	3.3186e-126
1.702	2.52584e-126	0.285714	0.357143	1.2	7.93143e-127
1.703	6.02572e-127	0.285714	0.357143	1.2	1.89299e-127
1.704	1.43547e-127	0.285714	0.357143	1.2	4.5116e-128
1.705	3.41464e-128	0.285714	0.357143	1.2	1.0737e-128
1.706	8.1105e-129	0.285714	0.357143	1.2	2.55148e-129
1.707	1.92348e-129	0.285714	0.357143	1.2	6.05401e-130
1.708	4.55464e-130	0.285714	0.357143	1.2	1.43424e-130
1.709	1.07679e-130	0.285714	0.357143	1.2	3.39248e-131
1.71	2.5416e-131	0.285714	0.357143	1.2	8.01147e-132
1.711	5.98917e-132	0.285714	0.357143	1.2	1.88885e-132
1.712	1.40896e-132	0.285714	0.357143	1.2	4.44587e-133
1.713	3.30898e-133	0.285714	0.357143	1.2	1.04467e-133
1.714	7.75777e-134	0.285714	0.357143	1.2	2.45051e-134
1.715	1.81559e-134	0.285714	0.357143	1.2	5.73817e-135
1.716	4.24154e-135	0.285714	0.357143	1.2	1.34128e-135
1.717	9.89111e-136	0.285714	0.357143	1.2	3.12955e-136
1.718	2.30235e-136	0.285714	0.357143	1.2	7.28874e-137
1.719	5.34923e-137	0.285714	0.357143	1.2	1.69441e-137
1.72	1.2405e-137	0.285714	0.357143	1.2	3.93163e-138
1.721	2.87127e-138	0.285714	0.357143	1.2	9.10547e-139
1.722	6.63311e-139	0.285714	0.357143	1.2	2.10474e-139
1.723	1.52938e-139	0.285714	0.357143	1.2	4.85571e-140
1.724	3.51934e-140	0.285714	0.357143	1.2	1.11804e-140
1.725	8.08246e-141	0.285714	0.357143	1.2	2.5692e-141
1.726	1.85249e-141	0.285714	0.357143	1.2	5.8921e-142
1.727	4.23728e-142	0.285714	0.357143	1.2	1.34854e-142
1.728	9.67236e-143	0.285714	0.357143	1.2	3.08017e-143
1.729	2.20335e-143	0.285714	0.357143	1.2	7.02087e-144
